Block,Lot,PlatAreaSF,PolyAreaSF,LotProduct_ft,LotWidth_ft,LotDepth_ft,PadElev_FP,FrontSpotElev,SpotToROW_ft,GarageApron,DrivewayDrop_ft,Slope_at21ft_pct,RunNeeded_at10pct_ft,SetbackShift_ft,DropGarage_if_noShift_ft,RestrictedDriveway,RequiredDrivewaySide,Dakota_JSwing_Fit,PlansWithEnoughSlack,Confidence,Notes
B,21,6000,5999,50,50.0,120.0,604.7,603.1,2.8,604.95,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,22,6000,5999,50,50.0,120.0,603.8,602.3,2.8,604.05,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
B,23,6000,5999,50,50.0,120.0,603.0,601.4,2.8,603.25,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,24,6000,5999,50,50.0,120.0,602.1,599.7,0.0,602.35,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
B,25,6000,5999,50,50.0,120.0,601.3,599.7,0.0,601.55,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,26,6000,5999,50,50.0,120.0,600.4,598.9,2.8,600.65,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
B,27,6000,5999,50,50.0,120.0,599.6,598.0,2.8,599.85,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,28,6000,5999,50,50.0,120.0,598.7,597.2,2.8,598.95,1.75,8.3,23.3,2.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
B,29,6000,5999,50,50.0,120.0,597.9,596.3,2.8,598.15,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
B,30,8135,8151,50,69.8,120.0,597.0,595.5,2.8,597.25,1.75,8.3,23.3,2.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
C,1,7150,7150,50,60.0,120.0,608.1,606.6,2.8,608.35,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
C,2,6000,6000,50,50.0,120.0,607.3,604.9,2.8,607.55,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,3,6000,6000,50,50.0,120.0,606.5,604.1,2.8,606.75,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,4,6000,6000,50,50.0,120.0,605.6,603.2,2.8,605.85,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,5,6000,6000,50,50.0,120.0,604.8,602.4,2.8,605.05,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,6,6000,6000,50,50.0,120.0,603.9,601.5,2.8,604.15,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,7,6000,6000,50,50.0,120.0,603.1,600.7,2.8,603.35,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,8,6000,6000,50,50.0,120.0,602.2,599.8,0.0,602.45,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,9,6000,6000,50,50.0,120.0,601.4,599.8,0.0,601.65,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,10,6000,6000,50,50.0,120.0,600.5,598.1,2.8,600.75,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,11,6000,6000,50,50.0,120.0,599.7,597.3,2.8,599.95,2.65,12.6,32.3,11.3,0.55,,,OK - either hand,"Ross A, Ross B/C, Cooper",OK,
C,12,6000,6000,50,50.0,120.0,598.8,596.4,2.8,599.05,2.65,12.6,32.3,11.3,0.55,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper",OK,
C,13,7200,7200,60,60.0,120.0,598.0,595.4,2.8,598.25,2.85,13.6,34.3,13.3,0.75,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C",OK,
C,14,8748,8748,60,73.7,120.0,597.0,593.3,0.0,597.25,3.95,18.8,45.3,24.3,1.85,YES,RIGHT,OK - MIRROR REQUIRED (garage right),none,CHECK,drop outside observed 0.9-2.9 ft range
C,15,8651,8651,60,72.9,120.0,596.4,594.8,2.8,596.65,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
C,16,7200,7199,60,60.0,120.0,596.8,594.8,2.8,597.05,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,17,6000,5999,50,50.0,120.0,597.2,595.2,2.8,597.45,2.25,10.7,28.3,7.3,0.15,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
C,18,6000,5999,50,50.0,120.0,597.5,596.0,2.8,597.75,1.75,8.3,23.3,2.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
C,19,6000,5999,50,50.0,120.0,597.9,596.0,2.8,598.15,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,20,6000,5999,50,50.0,120.0,598.3,596.7,0.0,598.55,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,21,6000,5999,50,50.0,120.0,598.7,596.7,0.0,598.95,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,22,6000,5999,50,50.0,120.0,599.4,597.2,2.8,599.65,2.45,11.7,30.3,9.3,0.35,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,23,6000,5999,50,50.0,120.0,600.1,598.6,2.8,600.35,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
C,24,6000,5999,50,50.0,120.0,600.8,598.6,2.8,601.05,2.45,11.7,30.3,9.3,0.35,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,25,6000,5999,50,50.0,120.0,601.6,600.0,2.8,601.85,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
C,26,6000,5999,50,50.0,120.0,602.7,601.2,2.8,602.95,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
C,27,6000,5999,50,50.0,120.0,604.0,601.2,2.8,604.25,3.05,14.5,36.3,15.3,0.95,,,OK - either hand,Ross A,OK,
C,28,7151,7151,50,60.0,120.0,605.2,607.3,0.0,605.45,-1.85,-8.8,0,0.0,,,,OK - either hand,all,CHECK,drop outside observed 0.9-2.9 ft range
D,1,8400,8399,70,70.0,120.0,598.6,597.0,2.8,598.85,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
D,2,8400,4928,70,41.1,120.0,598.2,596.1,2.8,598.45,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,3,8400,8399,70,70.0,120.0,597.8,595.7,2.8,598.05,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,4,8400,8399,70,70.0,120.0,597.3,595.3,0.0,597.55,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,5,8400,8399,70,70.0,120.0,596.9,595.3,0.0,597.15,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,6,8400,8399,70,70.0,120.0,596.5,594.8,2.8,596.75,1.95,9.3,25.3,4.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,7,8400,8399,70,70.0,120.0,596.1,594.0,2.8,596.35,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,8,8400,8399,70,70.0,120.0,595.6,594.0,2.8,595.85,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
D,9,7200,7199,60,60.0,120.0,595.1,593.2,2.8,595.35,2.15,10.2,27.3,6.3,0.05,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
D,10,7200,7199,60,60.0,120.0,594.7,593.2,2.8,594.95,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
D,11,7197,7194,60,60.0,120.0,594.4,592.4,2.6,594.65,2.25,10.7,28.3,7.3,0.15,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,1,8350,8350,60,70.0,120.0,596.5,594.9,0.0,596.75,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,2,7200,7199,60,60.0,120.0,596.5,594.5,0.0,596.75,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,3,7200,7200,60,60.0,120.0,596.1,594.2,0.0,596.35,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,4,7200,7200,60,60.0,120.0,595.7,593.8,0.0,595.95,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,5,7200,7200,60,60.0,120.0,595.4,593.4,0.0,595.65,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
E,6,7200,7200,60,60.0,120.0,595.0,593.1,0.0,595.25,2.15,10.2,27.3,6.3,0.05,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,7,7200,7200,60,60.0,120.0,594.6,592.7,0.0,594.85,2.15,10.2,27.3,6.3,0.05,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,8,8350,8350,60,70.0,120.0,594.3,592.7,0.0,594.55,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
E,9,8350,8350,60,70.0,120.0,590.9,588.7,0.0,591.15,2.45,11.7,30.3,9.3,0.35,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
